code,num
C1072,643.1666666666666
C1128,1150.1666666666667
C1456,528.5333333333333
C1840,527.9333333333333
C1332,1125.3333333333333
C1563,1589.9333333333334
C1794,969.4
C1640,524.0666666666667
C1377,371.3666666666667
C2072,320.8333333333333
C1472,469.3333333333333
C1006,210.23333333333332
C1083,504.73333333333335
C1311,259.03333333333336
C2676,554.2
C2318,338.03333333333336
C1603,397.03333333333336
C2523,317.56666666666666
C2177,176.13333333333333
C2411,710.3
C2033,182.4
C1604,530.5666666666667
C2535,577.8
C1040,585.6666666666666
C2417,450.03333333333336
C1812,155.13333333333333
C2253,156.8
C1294,751.2333333333333
C1772,485.1666666666667
C2646,590.7666666666667
C1152,925.2
C2423,172.4
C1844,372.7
C1318,220.36666666666667
C1729,134.13333333333333
C1602,243.96666666666667
C1239,349.8
C1721,699.2333333333333
C1902,804.5
C1855,313.3
C2600,415.53333333333336
C1071,508.6
C2295,504.2
C1621,474.1
C1852,738.1333333333333
C2555,1057.7333333333333
C1297,462.5
C2323,503.1333333333333
C2215,384.03333333333336
C2112,372.43333333333334
C1830,700.6666666666666
C2602,300.9
C2608,1196.1
C1215,669.0
C2369,644.5666666666667
C1158,286.76666666666665
C1887,575.9
C1189,277.46666666666664
C1637,433.6666666666667
C1225,157.53333333333333
C2374,379.3333333333333
C2397,601.4333333333333
C1105,982.9333333333333
C1782,486.96666666666664
C1629,196.16666666666666
C1708,275.4
C2144,649.6333333333333
C1617,1121.9333333333334
C1149,538.1333333333333
C1323,449.76666666666665
C1064,672.0
C1019,269.0
C2269,506.5
C1416,700.7
C1250,852.1666666666666
C1741,437.46666666666664
C1016,720.7666666666667
C2675,679.3333333333334
C2436,712.2
C2039,863.5666666666667
C1253,807.9
C2028,1280.4333333333334
C1166,368.2
C1135,253.83333333333334
C1216,313.2
C1593,220.23333333333332
C1826,253.8
C1827,453.3666666666667
C1564,280.06666666666666
C1495,1068.6666666666667
C2653,953.6
C1392,607.2
C2128,324.9
C1282,565.1333333333333
C1521,1079.6666666666667
C2076,989.5666666666667
C1060,635.9
C2473,897.1
C2557,885.9
C1835,789.6666666666666
C2224,737.7
C2222,424.53333333333336
C2430,783.4333333333333
C2497,756.4666666666667
C1494,913.6333333333333
C1457,554.0333333333333
C1525,1066.2333333333333
C1712,640.7
C2267,835.5333333333333
C1623,277.8666666666667
C2131,562.4
C2691,1069.2
C1147,785.2666666666667
C1692,878.3
C1570,903.3666666666667
C1474,129.56666666666666
C1633,167.8
C2113,548.6333333333333
C2175,827.2666666666667
C2303,1244.6333333333334
C2547,592.7333333333333
C2292,744.5666666666667
C1496,736.4333333333333
C1289,392.2
C1849,624.4
C1003,253.76666666666668
C2268,527.5666666666667
C2551,631.7
C2688,122.43333333333334
C1030,61.93333333333333
C1327,96.46666666666667
C2451,580.5
C1749,619.3333333333334
C1349,286.5
C2043,271.6666666666667
C1229,279.46666666666664
C2363,511.26666666666665
C1414,536.2
C2174,547.7666666666667
C2091,158.1
C2335,387.96666666666664
C1841,77.1
C2404,151.56666666666666
C1683,276.7
C1038,383.5
C2456,274.1
C1266,522.3333333333334
C2152,61.03333333333333
C1267,476.5
C2189,301.43333333333334
