code,num
C1072,519.1312309287877
C1128,543.9595848377652
C1456,516.527767051322
C1840,498.5086591436308
C1332,546.296468638005
C1563,537.9500555813412
C1794,540.6106280434165
C1640,497.84342626748776
C1377,489.98420916512777
C2072,481.9204196974185
C1472,497.5591212415341
C1006,518.177807756985
C1083,498.1841377170018
C1311,480.8696078648822
C2676,520.1211541771817
C2318,513.5979157768069
C1603,505.7302249909632
C2523,501.12881700106175
C2177,516.5258622725729
C2411,530.7557602946084
C2033,518.3437233127939
C1604,506.78704391572023
C2535,508.24784057567183
C1040,507.38880491547076
C2417,500.2645545851413
C1812,515.4666020570608
C2253,505.41821852260017
C1294,522.651621022585
C1772,505.6029118866019
C2646,509.749343712885
C1152,533.3379180099658
C2423,473.2716004443564
C1844,500.12115160232594
C1318,496.83558155722733
C1729,514.1520632920326
C1602,486.2340746298487
C1239,496.60833144983104
C1721,511.89305152648234
C1902,535.331900346003
C1855,486.1750984265883
C2600,494.61034659391737
C1071,500.23543258978333
C2295,497.5190874264056
C1621,499.41193338151464
C1852,521.8714459035449
C2555,537.4643979484749
C1297,487.10178962911107
C2323,501.19537197726777
C2215,490.69148788556186
C2112,489.8816883118482
C1830,528.3645210092884
C2602,476.152981900748
C2608,544.2664581297946
C1215,525.2549496075952
C2369,508.90311403313996
C1158,480.16355975478393
C1887,518.7804471407222
C1189,478.5206776406008
C1637,496.7830195825325
C1225,473.25679730307985
C2374,485.9247313952127
C2397,509.92069500232907
C1105,534.268496710637
C1782,492.9961978548655
C1629,473.58057020126563
C1708,482.84955152012617
C2144,517.1182074346766
C1617,536.7582840179915
C1149,508.9527503784121
C1323,498.44530716778206
C1064,531.972634061044
C1019,476.97389854989325
C2269,501.2875969938766
C1416,526.4948156856443
C1250,532.2293417535794
C1741,495.9844763201372
C1016,510.4825379050137
C2675,512.8326029717364
C2436,517.9940843930943
C2039,523.7298171036517
C1253,521.7548012465993
C2028,527.0907503247909
C1166,484.5582964287543
C1135,473.99102336283386
C1216,482.06183640660583
C1593,480.6388284633939
C1826,478.83586288228287
C1827,492.5984005805017
C1564,482.90754825861404
C1495,542.3485447144444
C2653,526.890528002003
C1392,518.3493801098715
C2128,490.04841797415395
C1282,515.176409805429
C1521,546.624268654343
C2076,527.0660492573262
C1060,500.7953480128402
C2473,534.9323805387953
C2557,531.9339024198604
C1835,528.748544553336
C2224,528.1195249187105
C2222,491.27970400853627
C2430,515.0986077731592
C2497,513.5359346462145
C1494,525.6473370601339
C1457,516.3089543320058
C1525,545.0600256604353
C1712,513.0413573978445
C2267,533.9974358847103
C1623,481.7851026329322
C2131,497.60097885257426
C2691,523.7928008003396
C1147,523.3998167379137
C1692,534.4368809327668
C1570,536.457566818557
C1474,473.03992965554534
C1633,479.12024447267925
C2113,516.7841511755126
C2175,522.2986108586227
C2303,525.4999353444249
C2547,504.8752855512388
C2292,521.9891464618695
C1496,522.1250102225572
C1289,482.5632140000873
C1849,517.7767795695695
C1003,491.6904264386332
C2268,517.8915319965199
C2551,514.2246715279501
C2688,473.03922434828394
C1030,479.6759638271341
C1327,509.02444573138837
C2451,495.5022409121347
C1749,518.525006403971
C1349,489.3294994194586
C2043,498.62728700152127
C1229,508.00822694282635
C2363,510.951233075372
C1414,518.3896330947736
C2174,518.0018255998797
C2091,472.33178328732333
C2335,481.67782646502627
C1841,467.301731878739
C2404,474.88374361581305
C1683,494.1459440924037
C1038,497.6790151857842
C2456,477.6201524834055
C1266,504.1722723580059
C2152,468.5282442405422
C1267,509.74496820116326
C2189,497.97217758742335
